"Signature","N","Events","beta","HR","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",77,21,-5.33005394324687,0.00484380871443215,7.33489645653706e-05,0.319874765799842,0.0126628428984901,0.0337675810626402
"PRE_EXHAUSTION_PROGRAM",77,21,-5.20600473148747,0.00548353818874337,0.000107262291260532,0.280333290609757,0.0094993323497537,0.0337675810626402
"B_CELL_ACTIVITY",77,21,-4.97148869914778,0.00693281946615704,0.000188909818573457,0.254428203432086,0.00683903707771949,0.0337675810626402
"T_CELL_ACTIVITY",77,21,-3.23442139787198,0.0393829854282278,0.00273512513061609,0.567074436148606,0.0174626414191334,0.0349252828382668
"TEX_LIKE_PROGRAM",77,21,-5.43947551358724,0.0043417598677227,2.52817186863144e-05,0.745632802218147,0.038287910391297,0.0612606566260752
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,-11.4075807518477,1.11109355287725e-05,1.7708933174208e-14,6971.22108430223,0.269709222564407,0.308239111502179
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,-13.416626853598,1.49016030939251e-06,4.63684743132925e-16,4788.98169623885,0.229655973033896,0.306207964045194
"HALLMARK_BILE_ACID_METABOLISM",77,21,-5.92835642133927,0.00266285500575734,1.67629741066175e-16,42300350382.8577,0.70226777771728,0.70226777771728
