"Signature","N","Events","HR_signature_per_SD","CI95_low","CI95_high","raw_p","PH_p_signature","PH_p_global","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",77,21,0.84776023215898,0.488835307544126,1.47022402052121,0.556573560586477,0.93392001865768,0.93392001865768,0.599665395894206
"PRE_EXHAUSTION_PROGRAM",77,21,0.768524684409689,0.446683061016415,1.32225786490101,0.341614127353595,0.760726219732262,0.760726219732262,0.599665395894206
"B_CELL_ACTIVITY",77,21,0.817036909069851,0.485065945799422,1.37620320816843,0.447497272034634,0.901397584031063,0.901397584031063,0.599665395894206
"T_CELL_ACTIVITY",77,21,0.84125963802003,0.515900209376528,1.37181138076466,0.488410328896029,0.460865437198872,0.460865437198872,0.599665395894206
"TEX_LIKE_PROGRAM",77,21,0.84365937904041,0.506460934548787,1.40536238688768,0.513782129385896,0.725285132603774,0.725285132603774,0.599665395894206
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,0.858985151352372,0.511552329957014,1.44238516185795,0.565424190614749,0.38367247500877,0.38367247500877,0.599665395894206
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,0.813606339908766,0.517702008038176,1.27864150816839,0.371153832510062,0.456354730267013,0.456354730267013,0.599665395894206
"HALLMARK_BILE_ACID_METABOLISM",77,21,1.13190941165714,0.712644928666013,1.79783629218592,0.599665395894206,0.2667495164481,0.2667495164481,0.599665395894206
