"Signature","N","Events","HR_signature_per_SD","CI95_low_signature","CI95_high_signature","raw_p_signature","HR_HPV_positive","raw_p_HPV","BH_FDR_signature"
"STEM_LIKE_T_CELL_PROGRAM",77,21,0.79973351213936,0.453711164613077,1.40964944290975,0.439672557444446,0.148871766266642,0.00318331392080538,0.525561293736964
"PRE_EXHAUSTION_PROGRAM",77,21,0.733795627570446,0.42307026565126,1.27273426368696,0.270623995177071,0.156659260082148,0.00322569313745388,0.525561293736964
"B_CELL_ACTIVITY",77,21,0.77898991738496,0.459276964170141,1.32126219847296,0.354182523667249,0.155173433440273,0.00395568226687019,0.525561293736964
"T_CELL_ACTIVITY",77,21,0.816517812123149,0.498928767472158,1.3362655773333,0.419922523185545,0.144617991633884,0.00209068578797093,0.525561293736964
"TEX_LIKE_PROGRAM",77,21,0.818269047324062,0.490263800667627,1.36572235783436,0.442844194366701,0.139179130003355,0.00134079938073071,0.525561293736964
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,0.81967307073091,0.483749670180059,1.38886697872344,0.459866132019843,0.124740828304073,0.000380970470558802,0.525561293736964
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,0.810959919068257,0.524287717131637,1.25437993080061,0.346422058437725,0.123357616371503,0.000348804665470363,0.525561293736964
"HALLMARK_BILE_ACID_METABOLISM",77,21,1.04502131090387,0.667249040864849,1.63667457480008,0.847437237128403,0.117814764988067,0.000308820585136795,0.847437237128403
