"Signature","N_full","N_excluded","N_sensitivity","HPV_beta_sensitivity","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",74,3,71,0.120225409640824,0.0559061397629326,0.184544679518716,0.000405788942291014,0.00108210384610937
"PRE_EXHAUSTION_PROGRAM",74,2,72,0.0974144675728354,0.0308892043294907,0.16393973081618,0.00475610356817079,0.00951220713634157
"B_CELL_ACTIVITY",74,4,70,0.133670970953542,0.0655524331494329,0.20178950875765,0.000221869754417873,0.000887479017671493
"T_CELL_ACTIVITY",74,5,69,0.190704370044695,0.110072322239331,0.27133641785006,1.37506123508689e-05,0.000110004898806951
"TEX_LIKE_PROGRAM",74,2,72,0.0723368659989146,0.0204551244969864,0.124218607500843,0.00702555563743368,0.0112408890198939
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,6,68,0.00736412845669594,-0.00479358416305914,0.019521841076451,0.230410509075398,0.263326296086169
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,2,72,0.00467686849106905,-0.00622040133270972,0.0155741383148478,0.394433306127751,0.394433306127751
"HALLMARK_BILE_ACID_METABOLISM",74,5,69,0.00607563938317142,-0.00197558474764049,0.0141268635139833,0.136470952954527,0.181961270606036
