"Signature","n_HPV_negative","n_HPV_positive","median_HPV_negative","median_HPV_positive","median_difference","cliffs_delta","raw_p","BH_FDR","CI95_low","CI95_high"
"STEM_LIKE_T_CELL_PROGRAM",26,51,0.0215501802427345,0.154101554667668,0.132551374424933,0.53393665158371,0.000140273969627083,0.000374063919005556,0.292571644042232,0.757202111613876
"PRE_EXHAUSTION_PROGRAM",26,51,-0.144093299084828,-0.0200929682821723,0.124000330802656,0.499245852187029,0.000370935540179388,0.000741871080358775,0.254901960784314,0.725490196078431
"B_CELL_ACTIVITY",26,51,0.121664043609462,0.23418316640479,0.112519122795327,0.618401206636501,1.02950286571712e-05,8.23602292573693e-05,0.392156862745098,0.808446455505279
"T_CELL_ACTIVITY",26,51,-0.0964331826822702,0.113732253179602,0.210165435861872,0.561085972850679,6.29236734968001e-05,0.0002516946939872,0.318250377073906,0.772247360482655
"TEX_LIKE_PROGRAM",26,51,-0.00399841385209797,0.0707893638087522,0.0747877776608502,0.407239819004525,0.00369738452445997,0.00591581523913595,0.137254901960784,0.639555052790346
"HALLMARK_ESTROGEN_RESPONSE_EARLY",26,51,0.314930316863904,0.318994308819911,0.00406399195600715,0.0708898944193062,0.616463029048821,0.631706270198486,-0.191553544494721,0.330316742081448
"HALLMARK_ESTROGEN_RESPONSE_LATE",26,51,0.324296595096949,0.32791333549179,0.00361674039484122,0.0678733031674208,0.631706270198486,0.631706270198486,-0.209690799396682,0.340874811463047
"HALLMARK_BILE_ACID_METABOLISM",26,51,0.0953348403794591,0.104238829659972,0.00890398928051304,0.158371040723982,0.260330735148866,0.347107646865154,-0.146380090497738,0.446455505279035
