"Signature","N","R_squared","adjusted_R_squared","max_Cooks_D","n_Cooks_D_gt_4_over_N"
"STEM_LIKE_T_CELL_PROGRAM",74,0.230721748065269,0.149131630435827,0.132542525234827,3
"PRE_EXHAUSTION_PROGRAM",74,0.230685383200261,0.149091408691198,0.145339557948556,2
"B_CELL_ACTIVITY",74,0.256883763890964,0.178068405515764,0.28817854205751,4
"T_CELL_ACTIVITY",74,0.231011558287237,0.149452178105581,0.183851435130528,5
"TEX_LIKE_PROGRAM",74,0.161112071835548,0.0721391097575003,0.0977174355939823,2
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,0.14335160056347,0.0524949521383841,0.122286824855353,6
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,0.0828077348919569,-0.0144702326195021,0.295622962370167,2
"HALLMARK_BILE_ACID_METABOLISM",74,0.0493611166682249,-0.0514642194427208,0.335379177542866,5
