"Signature","N","R_squared","adjusted_R_squared","max_Cooks_D","n_Cooks_D_gt_4_over_N"
"STEM_LIKE_T_CELL_PROGRAM",74,0.230675840659831,0.149080854063146,0.132600038971956,3
"PRE_EXHAUSTION_PROGRAM",74,0.230665244600529,0.149069134179373,0.145445929101093,2
"B_CELL_ACTIVITY",74,0.256713026940573,0.177879560100937,0.288407610171308,4
"T_CELL_ACTIVITY",74,0.230976958031936,0.149413908126232,0.183856730234983,5
"TEX_LIKE_PROGRAM",74,0.161006821147796,0.0720226961180175,0.0977634389694412,2
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,0.143337477251272,0.0524793308991345,0.122190991282378,6
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,0.0829702018303771,-0.0142905343391282,0.295926979051247,2
"HALLMARK_BILE_ACID_METABOLISM",74,0.0497694697536347,-0.0510125561815857,0.335995718622734,5
