"Signature","N","Events","HR_per_SD","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",77,21,0.50128640386956,0.291278292793392,0.862707812156531,0.01266284289849,0.03376758106264
"PRE_EXHAUSTION_PROGRAM",77,21,0.491007649433002,0.286840608185193,0.840496446186823,0.00949933234975374,0.03376758106264
"B_CELL_ACTIVITY",77,21,0.489479843609443,0.291669477073505,0.821445286986765,0.00683903707771949,0.03376758106264
"T_CELL_ACTIVITY",77,21,0.57091846754477,0.359617744316563,0.906373230284055,0.0174626414191333,0.0349252828382666
"TEX_LIKE_PROGRAM",77,21,0.57727353168645,0.343272872834686,0.970786673685779,0.038287910391297,0.0612606566260752
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,0.754873919545886,0.458151058108248,1.24377020270012,0.269709222564407,0.308239111502179
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,0.739518293017652,0.451985701705645,1.20996594282511,0.229655973033895,0.306207964045194
"HALLMARK_BILE_ACID_METABOLISM",77,21,0.907738423533083,0.552602731739284,1.49110563200596,0.70226777771728,0.70226777771728
