"Signature","n_HPV_negative","n_HPV_positive","median_HPV_negative","median_HPV_positive","median_difference","cliffs_delta","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",26,51,0.0242826752378007,0.156951028029759,0.132668352791958,0.53393665158371,0.000140273969627083,0.000374063919005556
"PRE_EXHAUSTION_PROGRAM",26,51,-0.141229147523971,-0.01715939952635,0.124069747997621,0.499245852187029,0.000370935540179388,0.000741871080358775
"B_CELL_ACTIVITY",26,51,0.124195332323534,0.236836202647994,0.112640870324461,0.618401206636501,1.02950286571712e-05,8.23602292573693e-05
"T_CELL_ACTIVITY",26,51,-0.0936185250032704,0.116634070077672,0.210252595080942,0.561085972850679,6.29236734968001e-05,0.0002516946939872
"TEX_LIKE_PROGRAM",26,51,-0.0012397245626035,0.073658074573681,0.0748977991362845,0.407239819004525,0.00369738452445997,0.00591581523913595
"HALLMARK_ESTROGEN_RESPONSE_EARLY",26,51,0.317582471442872,0.321590515706509,0.00400804426363749,0.0708898944193062,0.616463029048821,0.647107722743333
"HALLMARK_ESTROGEN_RESPONSE_LATE",26,51,0.326855677268741,0.330433135278334,0.00357745800959325,0.0648567119155355,0.647107722743333,0.647107722743333
"HALLMARK_BILE_ACID_METABOLISM",26,51,0.0976189683281571,0.106556910145498,0.00893794181734064,0.156862745098039,0.264919688657736,0.353226251543648
