"Signature","N","adjusted_beta","SE","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",74,0.0957851377114708,0.0328814236696802,0.030135257168091,0.161435018254851,0.00488008292669532,0.0130135544711875
"PRE_EXHAUSTION_PROGRAM",74,0.0829194128989566,0.0348383902968025,0.0133623224187872,0.152476503379126,0.020204094331251,0.0404081886625021
"B_CELL_ACTIVITY",74,0.111002488125623,0.036402291040738,0.0383229690653391,0.183682007185907,0.00329920551530344,0.0130135544711875
"T_CELL_ACTIVITY",74,0.129481244638058,0.0441535257535572,0.0413258861472113,0.217636603128905,0.00461766290931507,0.0130135544711875
"TEX_LIKE_PROGRAM",74,0.0573937657187609,0.0266973474635944,0.00409079169254167,0.11069673974498,0.0352411245351663,0.0563857992562661
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,0.00570071037248506,0.00668384324907894,-0.00764401324048056,0.0190454339854507,0.39679444701113,0.45347936801272
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,0.0100687988500159,0.00609075681978958,-0.00209178950086711,0.0222293872008989,0.103054349179,0.137405798905334
"HALLMARK_BILE_ACID_METABOLISM",74,0.00219685602282435,0.0045892903657343,-0.00696595782964139,0.0113596698752901,0.63373991069874,0.63373991069874
