"Signature","N","adjusted_beta","SE","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",74,0.0957650832299264,0.0328802758944018,0.0301174942938283,0.161412672166024,0.00488711205810388,0.0130322988216104
"PRE_EXHAUSTION_PROGRAM",74,0.0829155578247598,0.0348388096135473,0.0133576301516975,0.152473485497822,0.0202111131086473,0.0404222262172946
"B_CELL_ACTIVITY",74,0.110753725847203,0.0363551087337091,0.0381684093023371,0.183339042392069,0.00332703827042789,0.0130322988216104
"T_CELL_ACTIVITY",74,0.129485168896611,0.0441583250584018,0.0413202282844753,0.217650109508746,0.0046206821868092,0.0130322988216104
"TEX_LIKE_PROGRAM",74,0.0573693582244785,0.0266931291555093,0.00407480632209004,0.110663910126867,0.0352884679131231,0.0564615486609969
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,0.00569113502425061,0.00668025990533819,-0.00764643421210136,0.0190287042606026,0.39733195988239,0.454093668437017
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,0.010091857954265,0.00608419100052096,-0.00205562131548503,0.022239337224015,0.101921347535588,0.13589513004745
"HALLMARK_BILE_ACID_METABOLISM",74,0.00222787228699495,0.00458975554152495,-0.00693587031890297,0.0113916148928929,0.628999320819238,0.628999320819238
