"Gene","n_HPV_negative","n_HPV_positive","median_HPV_negative","median_HPV_positive","median_difference","cliffs_delta","raw_p","BH_FDR"
"TCF7",26,51,7.70055,8.8222,1.12165,0.438914027149321,0.00175350131973179,0.00280560211157087
"IL7R",26,51,6.7586,7.3866,0.628,0.0829562594268477,0.557176508962385,0.636773153099868
"CCR7",26,51,5.9542,8.029,2.0748,0.594268476621418,2.24978001291888e-05,8.9991200516755e-05
"LEF1",26,51,7.93475,7.6213,-0.31345,-0.0301659125188537,0.833634883024682,0.833634883024682
"BACH2",26,51,6.53445,7.224,0.689550000000001,0.262443438914027,0.0616457260655461,0.0821943014207282
"SELL",26,51,6.31695,8.7368,2.41985,0.555052790346908,7.54269663529734e-05,0.000150853932705947
"SLAMF6",26,51,5.22145,7.7109,2.48945,0.631975867269985,6.5495643401717e-06,5.23965147213736e-05
"CD28",26,51,4.9607,7.0711,2.1104,0.564102564102564,5.743407034838e-05,0.000150853932705947
