"Signature","N","Events","HR_per_SD","CI95_low","CI95_high","raw_p","HPV_HR","HPV_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",77,21,0.799594250909453,0.45360751675834,1.40948053651427,0.439360035718036,0.148899032778124,0.00318690527240112,0.527100911308955
"PRE_EXHAUSTION_PROGRAM",77,21,0.733650107342686,0.422985144009924,1.27248554145747,0.27031962304546,0.156687279199264,0.00322853335710676,0.527100911308955
"B_CELL_ACTIVITY",77,21,0.778566142224069,0.458884680407765,1.32095331070767,0.353417634935867,0.15525360294436,0.00396782184904323,0.527100911308955
"T_CELL_ACTIVITY",77,21,0.816440318012108,0.49886351488604,1.33618669833568,0.419738766090122,0.144632469323965,0.0020921355460707,0.527100911308955
"TEX_LIKE_PROGRAM",77,21,0.818127166881994,0.490177180520845,1.36549004684214,0.442452864629614,0.139201362887827,0.00134227163667459,0.527100911308955
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,0.820157956103074,0.484029310623871,1.38970731357606,0.461213297395336,0.124728622146203,0.000380821266268908,0.527100911308955
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,0.81163442479624,0.524547562785561,1.2558450105384,0.348709957223579,0.123294840084034,0.000347425544041255,0.527100911308955
"HALLMARK_BILE_ACID_METABOLISM",77,21,1.04469226195278,0.667143082060789,1.63590382862513,0.848462910274198,0.117834611826923,0.000308804458837712,0.848462910274198
