"","TCGA.BA.5153","TCGA.BA.5559","TCGA.BA.6871","TCGA.BA.A4IF","TCGA.BA.A4IG","TCGA.BA.A4IH","TCGA.BA.A4II","TCGA.BA.A6DL","TCGA.BA.A8YP","TCGA.BB.4223","TCGA.BB.4225","TCGA.BB.4228","TCGA.BB.7861","TCGA.BB.7866","TCGA.BB.7871","TCGA.BB.A6UM","TCGA.CN.5365","TCGA.CN.5374","TCGA.CN.A499","TCGA.CN.A49C","TCGA.CN.A6UY","TCGA.CN.A6V1","TCGA.CN.A6V6","TCGA.CN.A6V7","TCGA.CR.5243","TCGA.CR.5247","TCGA.CR.5248","TCGA.CR.5249","TCGA.CR.5250","TCGA.CR.6467","TCGA.CR.6470","TCGA.CR.6472","TCGA.CR.6477","TCGA.CR.6478","TCGA.CR.6480","TCGA.CR.6481","TCGA.CR.6482","TCGA.CR.6487","TCGA.CR.7383","TCGA.CR.7385","TCGA.CR.7404","TCGA.CV.5439","TCGA.CV.6943","TCGA.CV.6950","TCGA.CV.7406","TCGA.DQ.7590","TCGA.DQ.7591","TCGA.DQ.7593","TCGA.DQ.7594","TCGA.DQ.7596","TCGA.F7.A61V","TCGA.F7.A620","TCGA.H7.A76A","TCGA.HD.7753","TCGA.HD.7754","TCGA.HD.8224","TCGA.HD.8314","TCGA.HD.A634","TCGA.IQ.7630","TCGA.IQ.A61I","TCGA.IQ.A61O","TCGA.KU.A6H7","TCGA.MZ.A5BI","TCGA.MZ.A6I9","TCGA.MZ.A7D7","TCGA.P3.A5Q5","TCGA.P3.A5Q6","TCGA.P3.A5QE","TCGA.P3.A6SW","TCGA.P3.A6SX","TCGA.QK.A6IF","TCGA.QK.A6V9","TCGA.QK.A8ZA","TCGA.RS.A6TP","TCGA.T2.A6WZ","TCGA.T2.A6X0","TCGA.TN.A7HI"
"STEM_LIKE_T_CELL_PROGRAM",0.176372779686608,0.149350091842977,0.104370007999576,-0.133002558339318,0.109821226844125,0.134402773530365,-0.004075652049449,-0.0373279232226875,0.0350279604128147,0.196578721933512,0.206907878924606,0.0535349514428792,0.360950951547338,0.0932392501593518,0.00938020064208792,0.040950397977307,-0.0549454557779685,0.180819558954788,-0.0179883467387498,-0.0303444660828424,0.111295266576101,0.372600863195778,0.153865308209313,-0.0836659735272696,0.128889710436012,0.0269789014585031,0.189599531979139,0.304555593055642,0.154101554667668,0.258035499737929,0.292732264671053,0.033992827437723,0.122453640733462,0.189953158121751,0.0867943218759696,0.35455100782742,0.392589926418152,0.276792222520272,0.10032555024106,0.158410564201555,0.168803296937016,0.0540903201603951,0.260849940381476,-0.0565171231796234,0.0199720174357591,0.176142726946497,0.175487469780399,0.379803794990126,0.202877434578535,0.219472083283505,-0.0112190818567259,0.0270767933673161,0.259891083844415,0.0579330765226927,0.0389662933918243,0.0161214590269659,0.0960375550217317,-0.10556716212687,-0.0274378751503007,0.0575833552097149,0.0816440474673116,0.0351548253997769,0.271601658996189,0.0587140259256296,-0.0186489991193118,0.166573170591403,-0.0641493029127076,0.286448548367495,0.0114293643641781,-0.0927275149582664,0.338999897436334,0.164606990631427,-0.0926988971632547,-0.0682276889068363,0.0579678164848211,0.05082788868895,0.0359297456748764
"PRE_EXHAUSTION_PROGRAM",-0.0201529719269474,0.047408248784073,-0.0973904530974241,-0.286981710540643,-0.0670896714278927,-0.149022143985955,-0.118609877529805,-0.232504770876285,-0.143682399927564,0.0325528321456999,0.0587856093270407,-0.152182402928054,0.268315311197565,-0.0200929682821723,-0.148167171929903,-0.117124606351045,-0.178275819353943,0.0230633517153681,-0.057263433954252,-0.176148380002282,-0.0140855491876883,0.259628874265065,-0.0599385722389572,-0.202532183307869,-0.0396600796415609,-0.221793685187074,0.126924502478039,0.121491845811779,-0.0469785707124524,0.11632926144168,0.149669147166427,-0.120788810578102,-0.00824005115922405,0.107834785908218,-0.139764643474978,0.237229813102117,0.186583717711731,0.171996118159649,-0.0347132889574027,-0.00330159048431512,-0.00388232073497108,-0.14068509376288,0.108568877071975,-0.176330332720843,-0.231480714787495,0.0693899617203839,0.00474147101053748,0.173837829023367,-0.00306543970496544,0.0283825068625466,-0.173115817791859,-0.0513267082705214,0.112849590881377,-0.0804241126669018,-0.180001511093236,-0.24181080648725,-0.100760519147726,-0.277504894424572,-0.142235344771075,-0.113977606905107,-0.0954510410171466,-0.0753316201544322,0.107937474451417,-0.181496688865474,-0.235142153607099,0.0523865436428481,-0.185365807401545,0.0707543868270153,-0.114290388251387,-0.25053922940437,0.153935582438702,-0.0745238145273646,-0.243696671109253,-0.198053085252423,-0.144504198242092,-0.0762973724776808,-0.0410920654951434
"B_CELL_ACTIVITY",0.180395191308152,0.223253237803178,0.141199751881226,0.0417183930145506,0.285903945517359,0.115207359035983,0.124693018620969,0.118635068597955,0.0994201266173537,0.349014639378019,0.22618091101554,0.117104118445604,0.444033193782121,0.290508464662809,0.113531220657429,0.146384663000751,0.126763222942195,0.36877432437788,0.167928789883895,0.190594318389491,0.206580689510338,0.675340057474218,0.232950350512432,0.114719367760813,0.166438828933864,-0.0173559814873817,0.365864614859196,0.474054846684037,0.226649440676381,0.368762126381481,0.409072891330579,0.167424546972965,0.174853360763891,0.255633108672184,0.166605927069136,0.472464409008185,0.455954760584581,0.370570781673006,0.19548805382686,0.326774600715687,0.288639335520111,0.208131693110232,0.248750009128983,0.106983342435604,0.0697639921327739,0.224360629974129,0.283842042447095,0.548135661793593,0.359215165149812,0.387310828476543,0.148531599089379,0.22101484103533,0.447475670316505,0.110513154468389,0.13812239322187,0.0722533285582926,0.168489045260936,0.0189093212961674,0.10777296062989,0.219475856198544,0.171547612204608,0.208330145127798,0.297908566123249,0.221807496103569,-0.0315303187548005,0.315961980348624,0.102377928719055,0.276461334732924,0.23418316640479,-0.0754319808066065,0.557201147000184,0.28185210739027,-0.0537767781090413,0.0724687113291113,0.222776810945932,0.218992157538392,0.306346970046106
"T_CELL_ACTIVITY",0.184501365226533,0.172898104883665,0.0155847408881373,-0.225609849425792,0.0556296757528303,-0.0116744585103488,-0.0905757818629709,0.044494639206663,-0.198523509200607,0.0868352092300178,0.153184425525592,-0.120585322316151,0.31345435289489,-0.0363302627482308,-0.225166519085232,0.13874874935785,-0.0986969423412149,0.184654247240739,0.00391887556131372,-0.0619011452287379,0.169324263957617,0.467711755284329,0.208951989424061,-0.12041826966843,0.0117609738163013,-0.14315801824978,0.315416947944329,0.216086474351288,0.0450045593112261,0.139182523726835,0.142475923795659,-0.132532778307229,-0.00988400451046295,0.0731117647602301,0.0171688256664395,0.336988735734982,0.219659309311314,0.282073389838891,-0.015705322683053,0.113732253179602,0.139484518742841,0.0251701325298379,0.294215113570523,-0.155883693392405,-0.291921445426005,0.173015053370679,0.0851824998946734,0.351715374792706,0.112300005341367,0.123587944286239,-0.0790576262408139,0.0314120173642697,0.217080478719001,-0.107753067725201,-0.137208951267613,-0.132791802786414,-0.0649781437719217,-0.324659942525782,-0.11822755790654,0.0182963260619908,-0.185280093507167,0.13541727245193,0.269498834499592,-0.00558304328091936,-0.0941694230233256,0.335507055809892,-0.229928814181427,0.199648272899941,0.0209941913479067,-0.251259629701673,0.271036859875373,0.107119295502599,-0.178441754440495,-0.138416931112266,0.0221531252164167,-0.0681416112259784,0.0886854955332767
"TEX_LIKE_PROGRAM",0.0768644461249336,0.163787203665075,0.0649312490765068,-0.142554154856652,-0.0346447721242505,0.129255176659301,0.0344095924285178,-0.0260161153947231,0.00564372081637958,0.0707893638087522,0.135218906375233,0.0417711791711744,0.235911968977212,0.054786771137233,-0.0567835001242037,0.0324818060178181,-0.0148270144926595,-0.0257359932769079,0.0756714974507012,-0.0598170869058737,0.0484064466224622,0.219563317830133,0.180403489186729,-0.0289600256608437,0.00181519762510514,-0.0939671063706996,0.262740452477118,0.104788296263063,0.0318585116850949,0.143775127609539,0.163528699352563,-0.0721096666287735,0.0636830831402463,0.146070438067889,-0.0332383411142447,0.262318030473786,0.185491287514534,0.299441462986733,0.072374512605755,0.0863090492583721,0.0587175832916893,0.0180362207748495,0.181297943050617,-0.0526184716263613,-0.046703158537652,0.153133450123858,0.0896231859336629,0.200832521371718,0.0616290456855205,0.0442562598871579,-0.0490089367402516,0.112768654681681,0.158397358694688,0.00779008157489577,-0.0441214635165118,-0.121453690232664,-0.0378676824365973,-0.087531943927973,-0.0136405485205755,-0.03048945039361,0.044047573326014,0.0805337151902278,0.188919017380049,-0.0697352098710503,-0.0899768979827753,0.168720420677202,-0.0541636099784067,0.0769826328605946,0.016572104139449,-0.0909847256356576,0.157181569854778,0.0605267613441969,-0.0956670436444957,-0.0494167832494252,0.0467693512691067,0.0302342269935097,0.0945992858127304
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.336073800043367,0.321024734361228,0.316922965725107,0.344451291651075,0.324164579636539,0.357768695909567,0.330174895701902,0.330028698651453,0.303224638665465,0.33101826165579,0.338450858104911,0.324929617748929,0.305560052699924,0.325822313959033,0.295440738067559,0.276405087966945,0.291124619124994,0.292571457527626,0.298588869795433,0.312782463552689,0.294657229256255,0.277375945467563,0.336055511165618,0.29659122160876,0.342284296224591,0.350578684173117,0.294122082148625,0.34301289648942,0.366644844503952,0.328085003739813,0.318994308819911,0.295908875496704,0.317058042588552,0.306151034024636,0.336295912344251,0.323250136188615,0.345058419685256,0.276258805653956,0.315815500763406,0.315043140527057,0.315360668123176,0.327906363697601,0.351207191130729,0.311715482179734,0.356044327755672,0.307701681148249,0.300887713223994,0.327009823494313,0.351014071503991,0.345078596379622,0.325141527255492,0.314045132964401,0.312864479029427,0.30822243373971,0.328112586432037,0.347316934179417,0.331912232658452,0.241549462038995,0.319169082103924,0.31367628197715,0.285456170988308,0.304705091314596,0.33763026369465,0.338763437724829,0.273047583831707,0.269221021501163,0.31325303385287,0.317974020991844,0.303294784344471,0.3014695950632,0.322327341396396,0.299532153648546,0.316225445552634,0.297015639547231,0.299866805175467,0.276633026240678,0.248125181679775
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.322270643478516,0.313408454666652,0.309332708543468,0.36247950545594,0.34171639176628,0.367708045801245,0.340909605762969,0.350096334660168,0.30957345109029,0.31517906668682,0.345513701712178,0.32791333549179,0.30358887827969,0.316498028930576,0.298609241178783,0.308273413018009,0.315807440072657,0.325950651955988,0.322799251354364,0.338392330813863,0.323828395260608,0.324302196010553,0.353417036067103,0.329946482380172,0.337561090213723,0.355278556284969,0.305287195169317,0.343666913362084,0.341854526023569,0.330364321847203,0.324464270995569,0.302686344503072,0.324290994183345,0.31923776966271,0.335971499573291,0.332658588112082,0.336131951228981,0.292137854981453,0.337086982436681,0.33966996980397,0.323889363202503,0.334947940245615,0.347764361430992,0.315100930745959,0.340831871832719,0.324541184340811,0.311315041384905,0.340089574791816,0.361821520638078,0.353324880619386,0.36631875006282,0.338372763198464,0.327916528101763,0.318353176769007,0.31840779336053,0.306867059167965,0.361029648302946,0.274116008499865,0.303914592955452,0.357392359130444,0.239465573155416,0.348161429858852,0.364155617160281,0.368184198102304,0.334206058205562,0.305293466049814,0.338895702110871,0.328494856509246,0.325855837473807,0.300692679890345,0.313807109777404,0.326342916290508,0.316375708413098,0.306343229084133,0.342274091399006,0.28725534770245,0.310115362897733
"HALLMARK_BILE_ACID_METABOLISM",0.119422672660961,0.112217579032709,0.095751289551514,0.103412369983063,0.106034281144438,0.0901349500122803,0.0874372540455969,0.101560806395949,0.0869735248200975,0.106909459483805,0.0948118371440703,0.11585418316162,0.104238829659972,0.0943007961230692,0.0942854581480847,0.077900076606131,0.0794970067595593,0.0975993477903059,0.0536218745690211,0.090892757149679,0.0925544141115107,0.112877118170077,0.0965548710628178,0.107328580137466,0.117514422665663,0.113598044760433,0.105963091717894,0.117246200816641,0.116314675503538,0.10657497135445,0.105819901023323,0.0926826534150923,0.117395945944065,0.0949183912074043,0.114735165562819,0.111160699731277,0.120725542317366,0.0918370418721791,0.112114603516101,0.0906278186868955,0.0974211600692797,0.121582155110511,0.104603472780025,0.0747771438606987,0.110391021282998,0.102677890558004,0.0956056152844964,0.108682315815152,0.0866092051460731,0.118141471077431,0.0772962456082,0.0876084192309178,0.110128726010294,0.0968223577991617,0.117998109357174,0.156646001385098,0.111253520691993,0.0951452827487004,0.0812149034968135,0.106311392199418,0.0724227324809169,0.0983908519555286,0.0850068009928443,0.126018475589323,0.111692722580495,0.108179975056197,0.0903443510179752,0.0959489743429381,0.0887483838801819,0.0724781515129382,0.0796065731484355,0.0856615024945274,0.122084024696266,0.0790404497696185,0.0773815178452697,0.107575585566458,0.066741520513106
