"Signature","N_full","N_excluded","N_sensitivity","HPV_beta_sensitivity","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",74,3,71,0.12020954841462,0.0558943108572683,0.184524785971972,0.00040613002992983,0.00108301341314621
"PRE_EXHAUSTION_PROGRAM",74,2,72,0.0974205754868581,0.0308978922800408,0.163943258693675,0.00475211026818404,0.00950422053636809
"B_CELL_ACTIVITY",74,4,70,0.133377912551672,0.065362121602216,0.201393703501128,0.000223858788833702,0.000895435155334807
"T_CELL_ACTIVITY",74,5,69,0.190709382360233,0.110067511216032,0.271351253504435,1.37729952409488e-05,0.00011018396192759
"TEX_LIKE_PROGRAM",74,2,72,0.0723141570282169,0.0204413912964497,0.124186922759984,0.00703313148467874,0.011253010375486
"HALLMARK_ESTROGEN_RESPONSE_EARLY",74,6,68,0.00735657064729111,-0.00479253730878302,0.0195056786033652,0.230557364902261,0.26349413131687
"HALLMARK_ESTROGEN_RESPONSE_LATE",74,2,72,0.00470277477254231,-0.00618066508580398,0.0155862146308886,0.39123646248356,0.39123646248356
"HALLMARK_BILE_ACID_METABOLISM",74,5,69,0.00611216698079732,-0.00193498589063006,0.0141593198522247,0.133978609357606,0.178638145810141
