"Gene","N","adjusted_beta","SE","CI95_low","CI95_high","raw_p","BH_FDR"
"TCF7",74,0.616243129646705,0.285230361655803,0.0467623383598296,1.18572392093358,0.034368244503145,0.0549891912050321
"IL7R",74,0.261374017742144,0.496396398343604,-0.729713368886774,1.25246140437106,0.600276189262561,0.686029930585784
"CCR7",74,1.69331402862228,0.430289576383991,0.834213170567936,2.55241488667662,0.000202416634811511,0.00130841603772019
"LEF1",74,0.0374164549040599,0.284468477594409,-0.530543185774469,0.605376095582589,0.895755314202167,0.895755314202167
"BACH2",74,0.625513085560874,0.344371130960079,-0.0620460614283866,1.31307223255013,0.073851641152234,0.0984688548696454
"SELL",74,1.63910297660137,0.466626560873769,0.707452988222713,2.57075296498002,0.000805942589032076,0.00161188517806415
"SLAMF6",74,1.71808572202952,0.453153257955225,0.813336050863798,2.62283539319524,0.000327104009430048,0.00130841603772019
"CD28",74,1.39921882847099,0.384246151292766,0.632046634680488,2.1663910222615,0.00053382727202206,0.00142353939205883
