"Signature","N","Events","HR_per_SD","CI95_low","CI95_high","raw_p","BH_FDR"
"STEM_LIKE_T_CELL_PROGRAM",77,21,0.501382224736553,0.291341902549559,0.86284922656813,0.0126830083369965,0.0338213555653239
"PRE_EXHAUSTION_PROGRAM",77,21,0.491045271587281,0.286837721578944,0.840633712403351,0.00951861839365045,0.0338213555653239
"B_CELL_ACTIVITY",77,21,0.48974541030142,0.291885144033203,0.821729271990708,0.00686018649373234,0.0338213555653239
"T_CELL_ACTIVITY",77,21,0.570980568889444,0.359659816941236,0.906464371866653,0.0174824853239841,0.0349649706479681
"TEX_LIKE_PROGRAM",77,21,0.577383790674213,0.343326744584247,0.97100516342536,0.0383678333127368,0.0613885333003788
"HALLMARK_ESTROGEN_RESPONSE_EARLY",77,21,0.754513380766785,0.457959302845186,1.24310269104539,0.268839767756149,0.30724544886417
"HALLMARK_ESTROGEN_RESPONSE_LATE",77,21,0.73809032468099,0.451318921237219,1.20707841340724,0.226255218165078,0.301673624220105
"HALLMARK_BILE_ACID_METABOLISM",77,21,0.907359254432824,0.552347559455774,1.49054848258239,0.701069769710942,0.701069769710942
