"","TCGA.BA.5153","TCGA.BA.5559","TCGA.BA.6871","TCGA.BA.A4IF","TCGA.BA.A4IG","TCGA.BA.A4IH","TCGA.BA.A4II","TCGA.BA.A6DL","TCGA.BA.A8YP","TCGA.BB.4223","TCGA.BB.4225","TCGA.BB.4228","TCGA.BB.7861","TCGA.BB.7866","TCGA.BB.7871","TCGA.BB.A6UM","TCGA.CN.5365","TCGA.CN.5374","TCGA.CN.A499","TCGA.CN.A49C","TCGA.CN.A6UY","TCGA.CN.A6V1","TCGA.CN.A6V6","TCGA.CN.A6V7","TCGA.CR.5243","TCGA.CR.5247","TCGA.CR.5248","TCGA.CR.5249","TCGA.CR.5250","TCGA.CR.6467","TCGA.CR.6470","TCGA.CR.6472","TCGA.CR.6477","TCGA.CR.6478","TCGA.CR.6480","TCGA.CR.6481","TCGA.CR.6482","TCGA.CR.6487","TCGA.CR.7383","TCGA.CR.7385","TCGA.CR.7404","TCGA.CV.5439","TCGA.CV.6943","TCGA.CV.6950","TCGA.CV.7406","TCGA.DQ.7590","TCGA.DQ.7591","TCGA.DQ.7593","TCGA.DQ.7594","TCGA.DQ.7596","TCGA.F7.A61V","TCGA.F7.A620","TCGA.H7.A76A","TCGA.HD.7753","TCGA.HD.7754","TCGA.HD.8224","TCGA.HD.8314","TCGA.HD.A634","TCGA.IQ.7630","TCGA.IQ.A61I","TCGA.IQ.A61O","TCGA.KU.A6H7","TCGA.MZ.A5BI","TCGA.MZ.A6I9","TCGA.MZ.A7D7","TCGA.P3.A5Q5","TCGA.P3.A5Q6","TCGA.P3.A5QE","TCGA.P3.A6SW","TCGA.P3.A6SX","TCGA.QK.A6IF","TCGA.QK.A6V9","TCGA.QK.A8ZA","TCGA.RS.A6TP","TCGA.T2.A6WZ","TCGA.T2.A6X0","TCGA.TN.A7HI"
"STEM_LIKE_T_CELL_PROGRAM",0.179236340155939,0.15216976436367,0.107199661545462,-0.130166656133084,0.112689667496314,0.13711832692818,-0.00118940127556982,-0.0345403474301969,0.0378455859830362,0.199429355328201,0.209757793032604,0.0563225713444125,0.363792773601818,0.0960857397125325,0.0121789704761827,0.0437492042530259,-0.0521010761853733,0.18368341557156,-0.0151088783643928,-0.0274683202522524,0.1141301378081,0.375376434765996,0.156679898957911,-0.0807907038355967,0.131752432721303,0.029694569186883,0.192451019328766,0.307430651751229,0.156951028029759,0.260871518717737,0.295580938320472,0.0368584797034198,0.125334685845704,0.19278628931834,0.0896140590819408,0.357414826850529,0.395456835673991,0.279657972050104,0.103222363563289,0.161281561438779,0.171680382328323,0.0568804381661395,0.263714061810791,-0.0537033768106606,0.0227139200927177,0.178966542146392,0.178289908605956,0.382654884287342,0.205729608329146,0.222329478378224,-0.0083761566713814,0.0299487727176667,0.262709935738802,0.0607605086355909,0.0417813337124218,0.0188707812887184,0.0989148957861704,-0.102768527518758,-0.0245846403825214,0.0603792107554947,0.0843690917086457,0.0380297686341242,0.27440999728896,0.0614947031755386,-0.0159048260990564,0.169393671519832,-0.0612953804673317,0.289315219961066,0.0142864322389587,-0.089899798899772,0.341868835709722,0.167401090751372,-0.0898315940168098,-0.0654175219269189,0.0607592190261875,0.0536929845835344,0.0388051662974101
"PRE_EXHAUSTION_PROGRAM",-0.0172155912686007,0.0503418114642043,-0.0944835743631298,-0.28409128614446,-0.0641588116362692,-0.146139137362257,-0.115688131670991,-0.229582410720149,-0.140851442174959,0.0354833372578197,0.0617140768449178,-0.14922643112621,0.271206427812556,-0.01715939952635,-0.145295777292372,-0.11418653270895,-0.175327069141564,0.0259361927519581,-0.0543144792376014,-0.173191446764566,-0.0111661964146168,0.262422804408492,-0.0569977951835729,-0.199574244905718,-0.0367184074677041,-0.218949548735885,0.129820962035002,0.124386686978759,-0.0440434750974643,0.119226186655637,0.152577864094084,-0.117854710837338,-0.00534619790090533,0.110713785692815,-0.136802331486051,0.240131172264268,0.18945710681493,0.174914978706318,-0.031788081761657,-0.000379041019815206,-0.000966702221263811,-0.137725583427699,0.111487080739639,-0.173399006519342,-0.228713765030092,0.0722919181706201,0.00767017197622849,0.176724142830121,-0.000145091953370725,0.0312846397068634,-0.170200344715738,-0.0483898733482028,0.115694500665294,-0.0775066368296386,-0.177079451922822,-0.238874055710176,-0.0978429415884825,-0.27492560893268,-0.139287892316061,-0.11104022642795,-0.092544097965206,-0.0724083956427276,0.110797327323514,-0.178603849063395,-0.232277317654466,0.0552754065739139,-0.182451784175924,0.0736483592378254,-0.111387543175219,-0.247612397998123,0.156810439022371,-0.0715873678293193,-0.240830824899632,-0.19509856699486,-0.141606852872982,-0.0733710837354058,-0.0381964719785302
"B_CELL_ACTIVITY",0.18290012101347,0.225755724803461,0.143620907550505,0.0442937256472286,0.288677186437934,0.117533989348739,0.127143319057162,0.121247345589905,0.101339204233924,0.351779522701301,0.228805913805142,0.119434155684653,0.44684984998571,0.293233380050659,0.115507006481236,0.148698395996018,0.128811226024426,0.371560726630564,0.170405124607272,0.193243283801869,0.209100716166111,0.678220223097702,0.2355920201246,0.117258299105392,0.169037439202045,-0.0153708436802238,0.368629936077737,0.476894728564515,0.229345317164036,0.371550567806958,0.411884194403401,0.170140008252879,0.177312626670195,0.258293834845695,0.169126311668288,0.475275571792117,0.458772798168663,0.373347592360825,0.198068611499019,0.329531951505175,0.291355467502527,0.210765523612287,0.251353571909779,0.109313058930614,0.0716715979953948,0.226753942088473,0.286574203715932,0.550999108430656,0.36197264305065,0.390128298875446,0.151159978057183,0.223655588435105,0.450286961067899,0.112979685663594,0.140533454740623,0.0742732095807514,0.17087408184933,0.0209945897135818,0.10962997541966,0.222100929129023,0.173876483477651,0.210864530654427,0.300620449518044,0.224560549109415,-0.0292779125883117,0.318669936781645,0.104484295486914,0.279048946510863,0.236836202647994,-0.0728648376498413,0.560066902365488,0.284572265292797,-0.05174704135678,0.0747878080118041,0.225429788314607,0.221641546668913,0.309050949673965
"T_CELL_ACTIVITY",0.187398238291269,0.175721044809482,0.0184432546722529,-0.222730435636933,0.0584568198253807,-0.00890316887945152,-0.0876293240050965,0.0472748492931705,-0.19558481056798,0.0897510250864378,0.156064343088041,-0.117637040594893,0.316322027293139,-0.0334024884158405,-0.222234944220296,0.141603047887021,-0.0957544874156203,0.18752639655153,0.00680725706879917,-0.0589948110282989,0.172180981235284,0.470529812427689,0.211778399427011,-0.117467296623792,0.0146824855327779,-0.140436302256057,0.318239640780959,0.218958228033457,0.0479222703912627,0.142047603676204,0.145344352938363,-0.12961057173157,-0.00696464190113659,0.0760047839085426,0.0200039843494813,0.339873598364788,0.222530130967583,0.28492012275896,-0.0127782222012971,0.116634070077672,0.142363324128459,0.0279955844091308,0.297073260339721,-0.153000160457689,-0.289035795148843,0.175855623247134,0.088077422369439,0.354567546091579,0.115176153414657,0.126412204771589,-0.0761983141470705,0.0342972039125125,0.219891705130169,-0.104803547290973,-0.134343124188422,-0.129952024793514,-0.0620614539122286,-0.321779776902298,-0.115274001330026,0.0211834708779592,-0.182405590236189,0.138296154244044,0.272331663722754,-0.00284417090306549,-0.0914825625909205,0.33836447302679,-0.227018458313887,0.202522280216962,0.0238608439737799,-0.248353771224012,0.273913469408463,0.109966625423446,-0.175544526752515,-0.135484621917413,0.0249479770898135,-0.0652291938513021,0.0915399748212673
"TEX_LIKE_PROGRAM",0.0797066969639495,0.166645519588208,0.0676923121930725,-0.13979541612714,-0.0318003428492706,0.131917163300937,0.0372179800475331,-0.0232787996494794,0.00833399952903116,0.073658074573681,0.138047589575342,0.0444993198793343,0.238762196927449,0.0576479194229904,-0.0539890229844408,0.0353419118002516,-0.0119633076419185,-0.0228535836879751,0.0785456199286257,-0.0569544353547129,0.0512436825765678,0.22237483630276,0.18320686594617,-0.0261021573324815,0.00466895024148764,-0.0913839598358807,0.265604134567307,0.107617770330084,0.034647613169257,0.146630489174969,0.166378229237781,-0.0692666718987179,0.066509160166106,0.148907256696852,-0.0303858923591718,0.265177444515477,0.188281739665893,0.302291923042003,0.0751945760234566,0.0891511240882841,0.0615578748273245,0.0208612145201183,0.184141159221367,-0.0497935086338627,-0.0441414610279161,0.155990867430284,0.0924881986927232,0.203648166532333,0.0644541188902851,0.0470562426317444,-0.0462391931122925,0.115600023022084,0.161192229998435,0.0106223522406715,-0.0414342232472551,-0.118676730159192,-0.0350700474709274,-0.0848758747420696,-0.0108134486542382,-0.0276171109262658,0.046748874956092,0.0833663294877259,0.191710397594336,-0.0669517177718826,-0.0871742679565671,0.171571019425317,-0.0513808025722144,0.0798059460166795,0.0193754086611479,-0.0882036102119217,0.159999489224775,0.0633670038165184,-0.0929200506156391,-0.0465819655410987,0.0495001727249022,0.0330478118282723,0.097395956513422
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.338705967253284,0.323657526868208,0.319569436896828,0.347150278580116,0.32682477898622,0.360450274132927,0.332769541809737,0.332642227551899,0.305812156675595,0.333626658108971,0.341084503667319,0.327613884856736,0.308177030723386,0.328473220320065,0.298089446652566,0.279051763729014,0.293761607372675,0.295229765163568,0.301190133307229,0.315417549183165,0.297271345830611,0.280021356252094,0.338705816115058,0.299247661058941,0.344936592519845,0.353202074277152,0.296746457339064,0.345678823789561,0.369316674832427,0.33075279739497,0.321590515706509,0.298574262805833,0.31969004905456,0.308843119633247,0.338977523373735,0.325919032353696,0.34773679904545,0.278862919241265,0.31849187057072,0.317640597130402,0.318018103399189,0.330505314600846,0.353854633950018,0.314372466499007,0.358677259060366,0.310321175320838,0.303488950335724,0.32964828419819,0.353701596544753,0.347770105505023,0.32782753277477,0.316673072315024,0.315499590770692,0.310889791632038,0.33075615500708,0.350011959647074,0.334639877823764,0.244205227469894,0.321766359966331,0.316321073452841,0.288016371457711,0.307365072770197,0.340261963384636,0.341443872964173,0.275620252073753,0.271822408624522,0.315910546202574,0.320564841265093,0.305916143044104,0.304087019019748,0.324954790920162,0.302143347299804,0.318854664805015,0.299563097000533,0.302514201305365,0.279199378963675,0.250791692476713
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.324753173875554,0.31593038746407,0.311897244644098,0.365127139311775,0.344297566917662,0.370346597677046,0.34338349307689,0.352638198802236,0.312112328014278,0.317660276209793,0.348092783847687,0.330524372484791,0.306075300273234,0.319028080553243,0.301185093231867,0.31085124855709,0.318404014988289,0.328486798536255,0.325312658613746,0.340903656571996,0.326364634976424,0.326871086705187,0.355980372322281,0.332480663822947,0.340100071444917,0.357846041389704,0.307773227640985,0.346197290545273,0.344385760334939,0.332964393193034,0.326970712196039,0.305232789497757,0.326840267832295,0.321835474970684,0.338535999419033,0.335222256190284,0.338761630777656,0.294616236196353,0.339708578136726,0.342182156672388,0.326429283016132,0.337461481241546,0.35033069310928,0.317733360800334,0.343385672448525,0.327071732950751,0.313729515972295,0.342622143152116,0.364448178638008,0.355920994451076,0.36894744776733,0.34091134669023,0.330433135278334,0.32096303337271,0.32091316940275,0.309466991646704,0.363680635999388,0.276675316322836,0.30643812030799,0.359949557203527,0.24197096897161,0.350722251389318,0.366758814403351,0.370816139220708,0.336712273104374,0.307828082805832,0.341520477284842,0.330963725265241,0.328370843800859,0.303248162056339,0.316372612435589,0.328786519429491,0.318899853383124,0.308810521010067,0.344869812266355,0.289704547474027,0.312693535006201
"HALLMARK_BILE_ACID_METABOLISM",0.121752535322275,0.114373768710338,0.0979914467687625,0.105601138088146,0.108300408591114,0.0923097726241878,0.0897494147943372,0.103838247221325,0.0891959733960236,0.109121403741509,0.0971482774553293,0.11823110248784,0.106556910145498,0.0965847066557489,0.0964427358384996,0.0801241059879425,0.0818435083392393,0.0998752747655738,0.0559282615504497,0.0931238031181739,0.0948238659217553,0.115215551115846,0.0987809715256843,0.109506353613279,0.119725019935759,0.115914688387644,0.108258928747947,0.119485640571771,0.118558206199565,0.108832404008064,0.108106772544239,0.0949408100049151,0.119785386410971,0.0972464898875518,0.116959720380141,0.113506820280773,0.122969845662543,0.0941072406203232,0.114352738601269,0.0929109493595659,0.0996408088753673,0.123886861547549,0.106873845272049,0.0770004417080034,0.112572676778392,0.10492489175311,0.0977209550536651,0.11093408626041,0.0888992760416878,0.120430697317545,0.0795442678807109,0.0899117672490594,0.112379520983115,0.0990903936951069,0.120262613886842,0.158823678068615,0.11344915654033,0.0973837074087381,0.0835394449351122,0.108524836852333,0.0747090209988768,0.100712512935282,0.0871950126142871,0.128286983332962,0.114109493093095,0.110453155804365,0.092701578815919,0.0982035804666537,0.0909482290864755,0.0747099676477012,0.0819390600255686,0.087928296038261,0.124298813114446,0.0812697861672059,0.0797254782434877,0.109848991133398,0.0690155250183978
