gene_set,genes_or_source,type
STEM_LIKE_T_CELL_PROGRAM,LEF1;BACH2;ETS1;IL7R;CCR7;LTB;SELL;S1PR1;KLF2;BCL2;MAL;SLAMF6;CD28;TNFRSF7;PIK3IP1,custom
PRE_EXHAUSTION_PROGRAM,LEF1;BACH2;IL7R;CCR7;LTB;SELL;S1PR1;SLAMF6;CXCR5;PDCD1;TIGIT;CD28;ICOS;TNFRSF9;IL2RA;GZMK;TOX,custom
B_CELL_ACTIVITY,CD79B;MS4A1;CD19;CD37;CD74;HLA-DRA;HLA-DRB1;BANK1;BLK,custom
T_CELL_ACTIVITY,CD3E;CD3G;TRAC;TRBC1;TRBC2;CD247;LCK;ZAP70;LAT;ICOS;MAL,custom
TEX_LIKE_PROGRAM_SHI2023,HAVCR2;LAG3;TIGIT;CTLA4;ENTPD1;CXCL13;TOX;TOX2;NR4A1;NR4A2;NR4A3;BATF;IRF4;EOMES;PRDM1;CD244;TNFRSF9,custom
HALLMARK_ESTROGEN_RESPONSE_EARLY,MSigDB Hallmark h.all.v2025.1.Hs.symbols.gmt,MSigDB
HALLMARK_ESTROGEN_RESPONSE_LATE,MSigDB Hallmark h.all.v2025.1.Hs.symbols.gmt,MSigDB
HALLMARK_BILE_ACID_METABOLISM,MSigDB Hallmark h.all.v2025.1.Hs.symbols.gmt,MSigDB
